taxonomy	COPD.0001.BAL.L.171	COPD.0001.BAL.R.171	COPD.0002.BAL.L.171	COPD.0002.BAL.R.171	COPD.0003.BAL.R.171	COPD.0007.BAL.L.171	COPD.0007.BAL.R.171	COPD.0021.BAL.L.171	COPD.0021.BAL.R.171	COPD.0026.BAL.L.171	COPD.0026.BAL.R.171	COPD.0030.BAL.L.171	COPD.0030.BAL.R.171	COPD.0035.BAL.L.171	COPD.0035.BAL.R.171	COPD.0036.BAL.L.171	COPD.0036.BAL.R.171	COPD.0041.BAL.L.171	COPD.0041.BAL.R.171	COPD.0049.BAL.L.171	COPD.0049.BAL.R.171	COPD.0050.BAL.L.171	COPD.0050.BAL.R.171	COPD.0051.BAL.L.171	COPD.0051.BAL.R.171	COPD.0056.BAL.L.171	COPD.0056.BAL.R.171	COPD.0066.BAL.L.171	COPD.0066.BAL.R.171	COPD.0068.BAL.L.171	COPD.0068.BAL.R.171	COPD.0073.BAL.L.171	COPD.0073.BAL.R.171	COPD.0076.BAL.L.171	COPD.0076.BAL.R.171	COPD.0079.BAL.L.171	COPD.0079.BAL.R.171	COPD.0101.BAL.L.171	COPD.0101.BAL.R.171	COPD.0102.BAL.L.171	COPD.0102.BAL.R.171	COPD.0111.BAL.L.171	COPD.0111.BAL.R.171	COPD.0115.BAL.L.171	COPD.0115.BAL.R.171	COPD.0116.BAL.L.171	COPD.0116.BAL.R.171	COPD.0117.BAL.L.171	COPD.0117.BAL.R.171	COPD.0121.BAL.L.172	COPD.0121.BAL.R.172	SmNV.0004.BAL.L.171	SmNV.0004.BAL.R.171	SmNV.0005.BAL.L.171	SmNV.0005.BAL.R.171	SmNV.0006.BAL.L.171	SmNV.0006.BAL.R.171	SmNV.0008.BAL.L.171	SmNV.0008.BAL.R.171	SmNV.0009.BAL.L.171	SmNV.0009.BAL.R.171	SmNV.0012.BAL.L.171	SmNV.0012.BAL.R.171	SmNV.0013.BAL.L.171	SmNV.0013.BAL.R.171	SmNV.0014.BAL.L.171	SmNV.0014.BAL.R.171	SmNV.0016.BAL.L.171	SmNV.0016.BAL.R.171	SmNV.0023.BAL.L.171	SmNV.0023.BAL.R.171	SmNV.0027.BAL.L.171	SmNV.0027.BAL.R.171	SmNV.0032.BAL.L.171	SmNV.0032.BAL.R.171	SmNV.0036.BAL.L.171	SmNV.0036.BAL.R.171	SmNV.0038.BAL.L.171	SmNV.0038.BAL.R.171	SmNV.0039.BAL.L.171	SmNV.0039.BAL.R.171	SmNV.0043.BAL.L.171	SmNV.0043.BAL.R.171	SmNV.0044.BAL.L.171	SmNV.0044.BAL.R.171	SmNV.0047.BAL.L.171	SmNV.0047.BALF.R.172	SmNV.0052.BAL.L.171	SmNV.0052.BAL.R.171	SmNV.0055.BAL.L.171	SmNV.0055.BAL.R.171	SmNV.0060.BAL.L.171	SmNV.0060.BAL.R.171	SmNV.0064.BAL.L.171	SmNV.0064.BAL.R.171	SmNV.0067.BAL.L.171	SmNV.0067.BAL.R.171	SmNV.0085.BAL.R.172	SmNV.0091.BAL.L.172	SmNV.0091.BAL.R.172	SmNV.0093.BAL.L.172	SmNV.0093.BAL.R.172	SmNV.0098.BAL.L.172	SmNV.0098.BAL.R.172	SmNV.0099.BAL.L.172	SmNV.0099.BAL.R.172	SmNV.0105.BAL.L.172	SmNV.0105.BAL.R.172	SmNV.0107.BAL.L.172	SmNV.0107.BAL.R.172	SmNV.0122.BAL.L.172	SmNV.0122.BAL.R.172
494e7cb040a86bd3d91e7066a86d06d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca9c2f216d9886e16424ee13b46d28bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fcb2593241ff926aaea15395c8942d0c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e9415cd997ffae4d4430f7774d9e310a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20910220a15454c7a7a995405b0ec36d	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fe631977e3f2b92e7a5d1686f2d1c0b6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a14904a971131172aa55178a5de9ab53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40986759001bd19de43138d35d6ad205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd73849a54e74ceb8244dc051c900b1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ee6d859a4dd459852e32aaf246bf452b	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
